Action,Name,Points,GameMode,Timestamp
AddTestsAchievement,Safety First,1,LEADERBOARD,2025-11-04 09:07:00.467
TriggerXAssertsByTestsAchievement,Assert and Tested,0,LEADERBOARD,2025-11-04 09:12:44.459
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-11-04 09:12:44.859
RefactorAddXAssertionsAchievement,Double check,1,LEADERBOARD,2025-11-04 09:18:44.683
RefactorAddXAssertionsAchievement,Double check,1,LEADERBOARD,2025-11-04 09:19:28.068
TriggerXAssertsByTestsAchievement,Assert and Tested,2,LEADERBOARD,2025-11-04 09:35:51.772
RefactorAddXAssertionsAchievement,Double check,2,LEADERBOARD,2025-11-04 09:38:03.018
AddTestsAchievement,Safety First,1,LEADERBOARD,2025-11-04 09:38:03.019
RefactorXTestNamesAchievement,The Eponym,1,LEADERBOARD,2025-11-04 09:38:03.03
RefactorXTestNamesAchievement,The Eponym,1,LEADERBOARD,2025-11-04 09:38:03.037
TriggerXAssertsByTestsAchievement,Assert and Tested,3,LEADERBOARD,2025-11-04 09:38:43.971
RefactorAddXAssertionsAchievement,Double check,3,LEADERBOARD,2025-11-04 09:41:30.43
AddTestsAchievement,Safety First,2,LEADERBOARD,2025-11-04 09:41:30.431
RefactorXTestNamesAchievement,The Eponym,1,LEADERBOARD,2025-11-04 09:44:39.818
RefactorXTestNamesAchievement,The Eponym,1,LEADERBOARD,2025-11-04 09:44:39.823
TriggerXAssertsByTestsAchievement,Assert and Tested,1,LEADERBOARD,2025-11-04 09:45:47.388
RefactorXTestNamesAchievement,The Eponym,1,LEADERBOARD,2025-11-04 09:47:13.82
RefactorXTestNamesAchievement,The Eponym,1,LEADERBOARD,2025-11-04 09:47:13.825
TriggerXAssertsByTestsAchievement,Assert and Tested,1,LEADERBOARD,2025-11-04 09:47:17.518
RefactorAddXAssertionsAchievement,Double check,1,LEADERBOARD,2025-11-04 09:48:11.936
AddTestsAchievement,Safety First,1,LEADERBOARD,2025-11-04 09:48:11.936
RefactorAddXAssertionsAchievement,Double check,2,LEADERBOARD,2025-11-04 09:52:04.693
AddTestsAchievement,Safety First,1,LEADERBOARD,2025-11-04 09:52:04.694
TriggerXAssertsByTestsAchievement,Assert and Tested,2,LEADERBOARD,2025-11-04 09:59:30.671
RefactorAddXAssertionsAchievement,Double check,1,LEADERBOARD,2025-11-04 10:01:57.369
AddTestsAchievement,Safety First,1,LEADERBOARD,2025-11-04 10:01:57.37
RefactorAddXAssertionsAchievement,Double check,1,LEADERBOARD,2025-11-04 10:02:27.811
RefactorXTestNamesAchievement,The Eponym,1,LEADERBOARD,2025-11-04 10:02:27.817
RefactorXTestNamesAchievement,The Eponym,1,LEADERBOARD,2025-11-04 10:02:27.823
TriggerXAssertsByTestsAchievement,Assert and Tested,2,LEADERBOARD,2025-11-04 10:02:32.072
RefactorAddXAssertionsAchievement,Double check,1,LEADERBOARD,2025-11-04 10:02:38.701
TriggerXAssertsByTestsAchievement,Assert and Tested,2,LEADERBOARD,2025-11-04 10:02:43.124
TriggerXAssertsByTestsAchievement,Assert and Tested,2,LEADERBOARD,2025-11-04 10:04:44.36
TriggerXAssertsByTestsAchievement,Assert and Tested,1,LEADERBOARD,2025-11-04 10:06:03.534
TriggerXAssertsByTestsAchievement,Assert and Tested,2,LEADERBOARD,2025-11-04 10:06:03.539
TriggerXAssertsByTestsAchievement,Assert and Tested,2,LEADERBOARD,2025-11-04 10:06:03.571
TriggerXAssertsByTestsAchievement,Assert and Tested,2,LEADERBOARD,2025-11-04 10:06:03.576
TriggerXAssertsByTestsAchievement,Assert and Tested,2,LEADERBOARD,2025-11-04 10:06:03.581
TriggerXAssertsByTestsAchievement,Assert and Tested,2,LEADERBOARD,2025-11-04 10:06:03.585
